, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
с,0.0012,0.0016,0.0000,0.0008,0.0000,0.0000,0.0026,0.0000,0.0000,0.0006,0.0000,0.0022,0.0050,0.0009,0.0010,0.0030,0.0013,0.0002,0.0008,0.0141,0.0043,0.0000,0.0003,0.0000,0.0004,0.0000,0.0000,0.0000,0.0002,0.0005,0.0000,0.0001,0.0041
т,0.0091,0.0057,0.0000,0.0051,0.0000,0.0004,0.0045,0.0000,0.0000,0.0046,0.0000,0.0002,0.0003,0.0000,0.0013,0.0194,0.0000,0.0016,0.0030,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0076,0.0000,0.0000,0.0004
у,0.0054,0.0000,0.0002,0.0005,0.0024,0.0016,0.0007,0.0006,0.0000,0.0000,0.0001,0.0007,0.0000,0.0004,0.0002,0.0000,0.0002,0.0001,0.0005,0.0016,0.0000,0.0000,0.0002,0.0000,0.0012,0.0002,0.0037,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000
ф,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
х,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ц,0.0001,0.0004,0.0000,0.0001,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000
ч,0.0000,0.0029,0.0000,0.0000,0.0000,0.0000,0.0048,0.0000,0.0000,0.0031,0.0000,0.0001,0.0000,0.0000,0.0012,0.0000,0.0000,0.0000,0.0000,0.0058,0.0004,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
ш,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0018,0.0000,0.0000,0.0003,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000
щ,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0044,0.0000,0.0000,0.0015,0.0000,0.0000,0.0000,0.0000,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
ъ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001
ы,0.0040,0.0000,0.0000,0.0013,0.0000,0.0000,0.0011,0.0000,0.0001,0.0000,0.0004,0.0000,0.0009,0.0017,0.0000,0.0000,0.0000,0.0001,0.0010,0.0015,0.0000,0.0000,0.0011,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001
ь,0.0092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0002,0.0000,0.0000,0.0009,0.0000,0.0001,0.0019,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0001
э,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ю,0.0014,0.0000,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0017,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
я,0.0091,0.0000,0.0000,0.0002,0.0000,0.0002,0.0003,0.0001,0.0001,0.0000,0.0000,0.0003,0.0001,0.0004,0.0003,0.0000,0.0000,0.0000,0.0005,0.0013,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000
